,wals code,glottocode,name,latitude,longitude,macroarea,genus,family,sample 100,sample 200
0,aar,aari1239,Aari,6.0,36.5833333333,Africa,South Omotic,Afro-Asiatic,False,False
1,aba,abau1245,Abau,-4.0,141.25,Papunesia,Upper Sepik,Sepik,False,False
2,abb,chad1249,Arabic (Chadian),13.8333333333,20.8333333333,Africa,Semitic,Afro-Asiatic,False,False
3,abd,abid1235,Abidji,5.66666666667,-4.58333333333,Africa,Kwa,Niger-Congo,False,False
4,abe,nort3139,Arabic (Beirut),33.9166666667,35.5,Eurasia,Semitic,Afro-Asiatic,False,False
5,abh,baha1259,Arabic (Bahrain),26.0,50.5,Eurasia,Semitic,Afro-Asiatic,False,False
6,abi,abip1241,Abipón,-29.0,-61.0,South America,South Guaicuruan,Guaicuruan,False,True
7,abk,abkh1244,Abkhaz,43.0833333333,41.0,Eurasia,Northwest Caucasian,Northwest Caucasian,True,True
8,abm,alab1237,Alabama,32.3333333333,-87.4166666667,North America,Muskogean,Muskogean,False,False
9,abn,arab1267,Arabana,-28.25,136.25,Australia,Central Pama-Nyungan,Pama-Nyungan,False,False
10,abo,arbo1245,Arbore,5.0,36.75,Africa,Lowland East Cushitic,Afro-Asiatic,False,False
11,abu,abun1252,Abun,-0.5,132.5,Papunesia,North-Central Bird's Head,West Papuan,False,False
12,abv,abui1241,Abui,-8.25,124.666666667,Papunesia,Greater Alor,Timor-Alor-Pantar,False,False
13,abw,west2630,Abenaki (Western),44.0,-72.25,North America,Algonquian,Algic,False,False
14,abz,abaz1241,Abaza,44.0,42.0,Eurasia,Northwest Caucasian,Northwest Caucasian,False,False
15,ace,achi1257,Acehnese,5.5,95.5,Eurasia,Malayo-Sumbawan,Austronesian,False,False
16,acg,acha1250,Achagua,4.41666666667,-72.25,South America,Inland Northern Arawakan,Arawakan,False,False
17,ach,ache1246,Aché,-25.25,-55.1666666667,South America,Tupi-Guaraní,Tupian,False,False
18,aci,achi1256,Achí,15.1666666667,-90.5,North America,Mayan,Mayan,False,False
19,acl,acol1236,Acholi,3.0,32.6666666667,Africa,Nilotic,Eastern Sudanic,False,False
20,acm,achu1247,Achumawi,41.5,-121.0,North America,Palaihnihan,Hokan,False,False
21,acn,acha1249,Achang,25.0,98.5,Eurasia,Burmese-Lolo,Sino-Tibetan,False,False
22,aco,west2632,Acoma,34.9166666667,-107.583333333,North America,Keresan,Keresan,True,True
23,acu,achu1248,Achuar,-2.66667,-76.0,South America,Jivaroan,Jivaroan,False,False
24,ada,adam1238,Adamorobe Sign Language,5.83333333333,-0.166666666667,Africa,Sign Languages,other,False,False
25,adg,adan1251,Adang,-8.2,124.0,Papunesia,Greater Alor,Timor-Alor-Pantar,False,False
26,adi,adio1239,Adioukrou,5.41666666667,-4.58333333333,Africa,Kwa,Niger-Congo,False,False
27,adk,ando1256,Andoke,-0.666666666667,-72.0,South America,Andoke,Andoke,False,False
28,adn,adny1235,Adynyamathanha,-30.5,139.5,Australia,Central Pama-Nyungan,Pama-Nyungan,False,False
