,name
0,Aari
1,Abau
2,Arabic (Chadian)
3,Abidji
4,Arabic (Beirut)
5,Arabic (Bahrain)
6,Abipón
7,Abkhaz
8,Alabama
9,Arabana
10,Arbore
11,Abun
12,Abui
13,Abenaki (Western)
14,Abaza
15,Acehnese
16,Achagua
17,Aché
18,Achí
19,Acholi
20,Achumawi
21,Achang
22,Acoma
23,Achuar
24,Adamorobe Sign Language
25,Adang
26,Adioukrou
27,Andoke
28,Adynyamathanha
29,Adyghe (Temirgoy)
30,Adyghe (Abzakh)
31,Adzera
32,Aleut (Eastern)
33,Arabic (Egyptian)
34,Arabic (Eastern Libyan)
35,Afrikaans
36,Agarabi
37,Leggbó
38,Agta (Central)
39,Agta (Dupaningan)
40,Aghem
41,Aghul
42,Angami
43,Angolar
44,Aguaruna
45,Anguthimri
46,Aguacatec
47,Alagwa
48,Arapaho
49,Arabic (Bani-Hassan)
50,Ahtna
51,Aghu
52,Aikaná
53,Ainu
54,Aizi
55,Aja
56,Ajagbe
57,Ajië
58,Aka
59,Aka-Biada
60,Aka-Cari
61,Akha
62,Aka-Kede
63,Aklanon
64,Arakanese (Marma)
65,Akan
66,Arabic (Kormakiti)
67,Arikara
68,Akawaio
69,Alamblak
70,Albanian
71,Allentiac
72,Alladian
73,Aleut
74,Algonquin
75,Arop-Lokep
76,Ala'ala
77,Alune
78,Alsea
79,Alsatian
80,Alutor
81,Alawa
82,Alas
83,Alyawarra
84,Amara
85,Ambulas
86,Amahuaca
87,Amdo
88,Amele
89,Amharic
90,Amis
91,Amarakaeri
92,Ambae (Lolovoli Northeast)
93,Ama
94,Amanab
95,Amo
96,Arrernte (Mparntwe)
97,Ambai
98,Arabic (Moroccan)
99,Arabic (Modern Standard)
100,Amdo (Themchen)
101,Amuesha
102,Anamuxra
103,Amuzgo
104,Araona
105,Angas
106,Anêm
107,Anggor
108,//Ani
109,Anejom
110,Arabic (North Levantine Spoken)
111,Anindilyakwa
112,Anong
113,Angaataha
114,Anufo
115,Andi
116,Anywa
117,Ao
118,Mufian
119,Arabic (Palestinian)
120,Apache (Chiricahua)
121,Ampeeli
122,Apinayé
123,Apache (Jicarilla)
124,A-Pucikwar
125,Apalaí
126,Apatani
127,Apurinã
128,Apache (Western)
129,Arawak
130,Arabela
131,Archi
132,Arandai
133,Arabic (Gulf)
134,Arabic (Hijazi)
135,Aribwatsa
136,Arabic (Kuwaiti)
137,Araki
138,Arabic (Lebanese)
139,Armenian (Eastern)
140,Arabic (Borno Nigerian)
141,Arosi
142,Arapesh (Mountain)
143,Arabic (Iraqi)
144,Arrernte
145,Arabic (San'ani)
146,Arabic (Negev)
147,Armenian (Western)
148,'Are'are
149,Armenian (Iranian)
150,Adyghe (Shapsugh)
151,American Sign Language
152,Asmat
153,Altai (Southern)
154,Assamese
155,Asturian
156,Asuriní
157,Arabic (Syrian)
158,Atayal
159,Aralle-Tabulahan
160,Atchin
161,Athpare
162,Atikamekw
163,Atakapa
164,Atacameño
165,Alutiiq
166,Atsugewi
167,Arabic (Tunisian)
168,Au
169,Aulua
170,Auslan
171,Auyana
172,Avar
173,Avikam
174,Avokaya
175,Avatime
176,Awa
177,Awadhi
178,Arrernte (Western)
179,Aekyom
180,Akwa
181,Awngi
182,Awa Pit
183,Awtuw
184,Awyi
185,Akhvakh
186,Anyi
187,Aymara (Central)
188,Aynu
189,Ayoreo
190,Ayiwo
191,Azerbaijani
192,Azari (Iranian)
193,Barai
194,Babungo
195,Bachamal
196,Bade
197,Baré
198,Bafut
199,Bagirmi
200,Xiriana
201,Bai
202,Bajau (Sama)
203,Baka (in Cameroon)
204,Balinese
205,Bambara
206,Bana
207,Bao'an
208,Baure
209,Bari
210,Basaá
211,Batak
212,Bau
213,Bawm
214,Bobo Madaré (Northern)
215,Babole
216,Bambam
217,Barambu
218,Bininj Gun-Wok
219,Bandjalang (Casino)
220,Berber (Chaouia)
221,Bella Coola
222,Berbice Dutch Creole
223,Badaga
224,Budukh
225,Badimaya
226,Budu
227,Baham
228,Benabena
229,Bengali (Chittagong)
230,Beembe
231,Begak-Ida'an
232,Beja
233,Belhare
234,Bemba
235,Bengali
236,Beothuk
237,Berta
238,Bété
239,Bezhta
240,Biafada
241,Bafia
242,Benga
243,Banggai
244,Bagri
245,Buglere
246,Bangime
247,Bugun
248,Bongo
249,Bagiro
250,Baga Sitemu
251,Bagvalal
252,Banggi
253,Bhili
254,Bahinemo
255,Bhojpuri
256,Bhumij
257,Bila
258,Bidiya
259,Binga
260,Biri
261,Biak
262,Bilua
263,Bima
264,Binandere
265,Nai
266,Bilaan (Koronadal)
267,Birom
268,Bisa
269,Biatah
270,Bisu
271,Sama (Southern)
272,Baka (in South Sudan)
273,Betta Kurumba
274,Binukid
275,Bakairí
276,Bikol
277,Bakundu
278,Batak (Karo)
279,Brokskat
280,Bakueri
281,Blackfoot
282,Baluchi
283,Baule
284,Balangao
285,Baale
286,Balantak
287,Bilin
288,Bole
289,Belorussian
290,Balti
291,Bena-Lulua
292,Biloxi
293,Balyku
294,Balanta
295,Berber (Middle Atlas)
296,Bimoba
297,Bamun
298,Burum
299,Berber (Mzab)
300,Banawá
301,Bunuba
302,Bandi
303,Qaget
304,Bini
305,Bandjalang
306,Bankon
307,Banggarla
308,Binumarien
309,Banoni
310,Waimaha
311,Beng
312,Bilinarra
313,Bantik
314,Bularnu
315,Baniva
316,Baniwa
317,Boazi
318,Bobangi
319,Bodo
320,Boiken
321,Bori
322,Boko
323,Bolia
324,Bongu
325,Bokar
326,Bora
327,Bosnian
328,Berber (Wargla)
329,Bozo (Tigemaxo)
330,Bura-Pabir
331,Bahnar
332,Basque (Bidasoa Valley)
333,Basque (Gernica)
334,Basque (Hondarribia)
335,Basque (Basaburua and Imoz)
336,Basque (Lekeitio)
337,Basque (Northern High Navarrese)
338,Basque (Oñati)
339,Basque (Roncalese)
340,Basque (Sakana)
341,Basque (Zeberio)
342,Brao
343,Bariba
344,Boruca
345,Bardi
346,Breton
347,Berber (Rif)
348,Brahui
349,Bribri
350,Burji
351,Berik
352,Baragaunle
353,Burmese
354,Burunge
355,Broken
356,Barupu
357,Bera
358,Bororo
359,Barasano
360,Bru (Eastern)
361,Bru (Western)
362,Baruya
363,Birri
364,Berber (Ayt Seghrouchen Middle Atlas)
